Estação,Nome da Rede,Sigla da rede,Ano,Lat,Long,Alt,Localidade,Estado,Sensor,Tipo BB SP,S/N Sensor,DAS,S/N DAS,SPS,Ganho,Data Início Greg,Data Fim Greg,Data Inicio Jul,Data Fim Jul,Observações,Ativa
ACJC,RSISNE,NB,2011,"-5,5843","-35,7861",123,"Fazenda Arizona, Poço Branco",RN,Acelerômetro Tri-axial REF TEK 131 A 02/3,Acel,305,REF TEK 130-GSN,ACEF,200,1,20111025,20111027,2011298,2011300,"Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310, Painel Solar S/N: 2006",Não
ACJC,RSISNE,NB,2011,"-5,5843","-35,7861",123,"Fazenda Arizona, Poço Branco",RN,Acelerômetro Tri-axial REF TEK 131 A 02/3,Acel,305,REF TEK 130-GSN,ACEF,1000,1,20111027,20111207,2011300,2011341,"Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310, Painel Solar S/N: 2006",Não
ACJC,RSISNE,NB,2011,"-5,5843","-35,7861",123,"Fazenda Arizona, Poço Branco",RN,Acelerômetro Tri-axial REF TEK 131 A 02/3,Acel,305,REF TEK 130-GSN,ACEF,500,1,20111207,20120404,2011341,2012095,"Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310, Painel Solar S/N: 2006",Não
ACJC,RSISNE,NB,2011,"-5,5843","-35,7861",123,"Fazenda Arizona, Poço Branco",RN,Acelerômetro Tri-axial REF TEK 131 A 02/3,Acel,305,REF TEK 130-GSN,ACEF,200,1,20120404,20151112,2012095,2015316,"Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310, Painel Solar S/N: 2006",Não
ACJC,RSISNE,NB,2011,"-5,5843","-35,7861",123,"Fazenda Arizona, Poço Branco",RN,Acelerômetro Tri-axial REF TEK 131 A 02/3,Acel,305,REF TEK 130-GSN,ACF7,100,1,20151112,20160319,2015316,2016079,"Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310, Painel Solar S/N: 2006",Não
ACJC,RSISNE,NB,2011,"-5,5843","-35,7861",123,"Fazenda Arizona, Poço Branco",RN,Acelerômetro Tri-axial REF TEK 131 A 02/3,Acel,305,REF TEK 130-GSN,ACEF,200,1,20160606,20170925,2016158,2017268,"Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310, Painel Solar S/N: 2006",Não
ACJC,RSISNE,NB,2011,"-5,5843","-35,7861",123,"Fazenda Arizona, Poço Branco",RN,Acelerômetro Tri-axial REF TEK 131 A 02/3,Acel,305,REF TEK 130-GSN,ACEF,100,1,20170925,20181205,2017268,2018339,"Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310, Painel Solar S/N: 2006",Não
ACJC,RSISNE,NB,2011,"-5,5843","-35,7861",123,"Fazenda Arizona, Poço Branco",RN,Sismômetro Período Curto Tri-axial Sprengnether,SP,11104,REF TEK 130-GSN,ACEF,100,1,20181205,20191024,2018339,2019297,"Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310, Painel Solar S/N: 2006. Início de conexão de satélite.",Não
ACJC,RSISNE,NB,2011,"-5,5843","-35,7861",123,"Fazenda Arizona, Poço Branco",RN,Sismômetro Período Curto Tri-axial Lennartz LE-3Dlite MKII 223-0041,SP,569,REF TEK 130-GSN,ACEF,100,1,20191024,20210701,2019297,2021182,"Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310, Painel Solar S/N: 2006",Não
NBAN,RSISNE,NB,2011,"-9,668656","-36,274726",261,"Sítio Serra da Moprena, Anadia",AL,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09201 e 342,REF TEK 130-GSN,ACF4,100,1 e 1,20110831,20110906,2011243,2011249,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310. Painel solar: S/N 2006,Não
NBAN,RSISNE,NB,2011,"-9,668656","-36,274726",261,"Sítio Serra da Moprena, Anadia",AL,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09201 e 342,REF TEK 130-GSN,ACF4,100,32 e 1,20110906,20130219,2011249,2013050,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310. Painel solar: S/N 2006,Não
NBAN,RSISNE,NB,2011,"-9,668656","-36,274726",261,"Sítio Serra da Moprena, Anadia",AL,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09201 e 342,REF TEK 130-GSN,ACF4,100,1 e 1,20130219,20230723,2013050,2023204,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310. Painel solar: S/N 2006,Não
NBAN,RSISNE,NB,2011,"-9,668656","-36,274726",261,"Sítio Serra da Moprena, Anadia",AL,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09201 e 342,REF TEK 130-GSN,ACEC,100,1 e 1,20230723,,2023204,#VALUE!,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310. Painel solar: S/N 2006,Sim
NBBC,RSISNE,NB,2016,"-5,5222","-45,2844",120,Barreira do Corda,MA,Sismômetro Broadband Tri-axial Trillium Compact 120s ASM16783R6 754 V/m/s e Acelerômetro Tri-axial Titan,BB e Acel,G09210 e 337,Nanometrics Trident e Taurus,667 e 3197,100,1,20161212,20170312,2016347,2017071,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8144 e Painel Solar: KYOCERA MOD-KC50T S/N 08Y5AH2039,Não
NBBC,RSISNE,NB,2016,"-5,5222","-45,2844",120,Barreira do Corda,MA,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09210 e 337,REF TEK 130-GSN,ACEB,100,1,20170520,20210305,2017140,2021064,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8144 e Painel Solar: KYOCERA MOD-KC50T S/N 08Y5AH2039,Não
NBBL,RSISNE,NB,2018,"-8,682","-35,1512",64,"Bica de Lurdes - Sítio Maranata, Rio Formoso",PE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09201 e 340,REF TEK 130-GSN,ACAF,100,1 e 1,20171205,20200714,2017339,2020196,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8159 e Painel Solar: S/N 2039. Equipamento veio de NBRF,Não
NBCA,RSISNE,NB,2012,"-8,225687","-36,013016",615,"Sítio Lagedo do Baixo Caruaru, Caruaru",PE,"Sismômetro Periodo Curto Tri-axial Sercel L-4-3D 2Hz, WO/CT, 5500 Ohms e Acelerômetro Tri-axial REF TEK 131 A 02/3",SP e Acel,4998 e 308,REF TEK 130-GSN,AD3E,100,32 e 1,20120409,20120410,2012100,2012101,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8148 e painel solar:098A1338,Não
NBCA,RSISNE,NB,2012,"-8,225687","-36,013016",615,"Sítio Lagedo do Baixo Caruaru, Caruaru",PE,"Sismômetro Periodo Curto Tri-axial Sercel L-4-3D 2Hz, WO/CT, 5500 Ohms e Acelerômetro Tri-axial REF TEK 131 A 02/3",SP e Acel,G13179VS e 308,REF TEK 130-GSN,AD3E,100,1 e 1,20120410,20130516,2012101,2013136,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8148 e painel solar:098A1338,Não
NBCA,RSISNE,NB,2012,"-8,225687","-36,013016",615,"Sítio Lagedo do Baixo Caruaru, Caruaru",PE,Acelerômetro Tri-axial REF TEK 131 A 02/3,Acel,308,REF TEK 130-GSN,AD3E,100,1,20130516,20150905,2013136,2015248,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8148 e painel solar:098A1338,Não
NBCA,RSISNE,NB,2012,"-8,225687","-36,013016",615,"Sítio Lagedo do Baixo Caruaru, Caruaru",PE,Sismômetro Broadband Tri-axial REF TEK OBSERVER 151B-120 e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G13179VS e 308,REF TEK 130-GSN,AD3E,100,1 e 1,20150905,20210202,2015248,2021033,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8148 e painel solar:098A1338,Não
NBCA,RSISNE,NB,2012,"-8,225687","-36,013016",615,"Sítio Lagedo do Baixo Caruaru, Caruaru",PE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09201 e 308,REF TEK 130-GSN,AD3E,100,1 e 1,20210202,,2021033,#VALUE!,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8148 e painel solar:098A1338,Sim
NBCL,RSISNE,NB,2011,"-4,224377","-38,291041",29,"Trapiá - Passagem do Franco I, Cascavel",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09174 e 333,REF TEK 130-GSN,AD40,100,32 e 32,20110526,20110627,2011146,2011178,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8203. Painel Solar S/N 2015 -KYOCERA MODELO KC50T ,Não
NBCL,RSISNE,NB,2011,"-4,224377","-38,291041",29,"Trapiá - Passagem do Franco I, Cascavel",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09174 e 333,REF TEK 130-GSN,AD40,100,32 e 1,20110627,20121211,2011178,2012346,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8203. Painel Solar S/N 2015 -KYOCERA MODELO KC50T ,Não
NBCL,RSISNE,NB,2011,"-4,224377","-38,291041",29,"Trapiá - Passagem do Franco I, Cascavel",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09174 e 333,REF TEK 130-GSN,AD40,100,1 e 1,20121211,,2012346,#VALUE!,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8203. Painel Solar S/N 2015 -KYOCERA MODELO KC50T ,Sim
NBCM,RSISNE,NB,2020,"-13,071601","-39,503478",221,"Corta Mão, Amargosa",BA,Sismômetro Broadband Tri-axial Trillium Compact 120s ASM16783R6 754 V/m/,BB,1260,REFTEK 130-GSN,ACB2,100,1,20201023,20220910,2020297,2022253,"GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8242, Painel Solar: KC50T S/N 0735AB0945",Não
NBCM,RSISNE,NB,2020,"-13,099274","-39,515824",367,"Corta Mão, Amargosa",BA,Sismômetro Broadband Tri-axial Trillium Compact 120s ASM16783R6 754 V/m/,BB,1260,REFTEK 130-GSN,ACB2,100,32,20220910,20220926,2022253,2022269,"GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8032, Painel Solar: KC50T S/N 0735AB0945",Não
NBCM,RSISNE,NB,2020,"-13,099274","-39,515824",367,"Corta Mão, Amargosa",BA,Sismômetro Broadband Tri-axial Trillium Compact 120s ASM16783R6 754 V/m/,BB,1260,REFTEK 130-GSN,ACB2,100,1,20220926,20221021,2022269,2022294,"GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8032, Painel Solar: KC50T S/N 0735AB0945",Não
NBCM,RSISNE,NB,2020,"-13,099274","-39,515824",367,"Corta Mão, Amargosa",BA,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A,BB,G09206,REFTEK 130-GSN,ACB2,100,1,20221021,,2022294,#VALUE!,"GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8032, Painel Solar: KC50T S/N 0735AB0945",Sim
NBCP,RSISNE,NB,2011,"-12,5937","-39,1821",232,"Fazenda Santa Isabel, Cabaceiras de Paraguaçu",BA,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G0921 e 337,REF TEK 130-GSN,ACEB,100,32 e 1,20110927,20111012,2011270,2011285,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310. Foi para AR09.,Não
